YearMonth,TotalSales,TotalQty
2022-05,517737.4369,829
2022-06,2001278.966938,2195
2022-07,1668510.498976,1667
2022-08,1326138.10567,1391
2022-09,2836409.613304,3123
2022-10,2269438.226826,2421
2022-11,1437342.53394,1079
2022-12,2504196.208958,2321
2023-01,2076791.6086,1837
2023-02,1449883.20178,1434
2023-03,2975748.238428,3184
2023-04,1634600.798332,2405
2023-05,3074602.813538,7723
2023-06,4099354.356751,11295
2023-07,3417953.869571,9142
2023-08,2175637.217725,5567
2023-09,3454151.940485,8294
2023-10,2544091.105517,6549
2023-11,1872701.976206,3606
2023-12,2829404.818943,5405
2024-01,2087872.462504,4154
2024-02,2343260.23338,5664
2024-03,3407037.411535,8252
2024-04,2533057.410899,6447
2024-05,3258341.130079,10311
2024-06,5063798.381596,16653
2024-07,4918580.187794,18623
2024-08,3325296.097555,11541
2024-09,4539828.995303,14569
2024-10,4820725.329802,15036
2024-11,3291238.2855869997,9627
2024-12,4082853.575601,11059
2025-01,4276427.720953,11464
2025-02,3565879.32327,11436
2025-03,4987901.5343039995,15442
2025-04,5222758.742338,15539
2025-05,1908059.49,5583
2025-06,47491.55,2047
