ProductID,TotalSales,TotalQty,Name,Color,ListPrice
782,4400592.8004,2977,"Mountain-200 Black, 38",Black,2294.99
783,4009494.761841,2664,"Mountain-200 Black, 42",Black,2294.99
779,3693678.025272,2394,"Mountain-200 Silver, 38",Silver,2319.99
780,3438478.860423,2234,"Mountain-200 Silver, 42",Silver,2319.99
781,3434256.9419279997,2216,"Mountain-200 Silver, 46",Silver,2319.99
784,3309673.216908,2111,"Mountain-200 Black, 46",Black,2294.99
793,2516857.314918,1642,"Road-250 Black, 44",Black,2443.35
794,2347655.953454,1498,"Road-250 Black, 48",Black,2443.35
795,2012447.775,1245,"Road-250 Black, 52",Black,2443.35
753,1847818.628,664,"Road-150 Red, 56",Red,3578.27
976,1774883.557085,1622,"Road-350-W Yellow, 48",Yellow,1700.99
749,1769096.688,600,"Road-150 Red, 62",Red,3578.27
969,1721242.514355,1120,"Touring-1000 Blue, 60",Blue,2384.07
973,1657198.182549,1477,"Road-350-W Yellow, 40",Yellow,1700.99
792,1587008.1824999999,946,"Road-250 Red, 58",Red,2443.35
966,1586953.573023,1002,"Touring-1000 Blue, 46",Blue,2384.07
751,1540803.062,493,"Road-150 Red, 48",Red,3578.27
957,1518133.101147,1114,"Touring-1000 Yellow, 60",Yellow,2384.07
796,1506377.6325,910,"Road-250 Black, 58",Black,2443.35
789,1448122.478985,895,"Road-250 Red, 44",Red,2443.35
954,1426372.869324,1005,"Touring-1000 Yellow, 46",Yellow,2384.07
752,1415563.612,458,"Road-150 Red, 52",Red,3578.27
777,1365852.378018,678,"Mountain-100 Black, 44",Black,3374.99
790,1348759.49754,812,"Road-250 Red, 48",Red,2443.35
750,1340419.942,437,"Road-150 Red, 44",Red,3578.27
775,1339997.2546259998,682,"Mountain-100 Black, 38",Black,3374.99
771,1291868.700375,642,"Mountain-100 Silver, 38",Silver,3399.99
776,1254722.732292,634,"Mountain-100 Black, 42",Black,3374.99
778,1234276.0303749999,616,"Mountain-100 Black, 48",Black,3374.99
801,1233938.87766,1763,"Road-550-W Yellow, 48",Yellow,1120.49
797,1227910.08086,1744,"Road-550-W Yellow, 38",Yellow,1120.49
773,1217210.359959,601,"Mountain-100 Silver, 44",Silver,3399.99
772,1186494.850299,593,"Mountain-100 Silver, 42",Silver,3399.99
974,1120066.364309,944,"Road-350-W Yellow, 42",Yellow,1700.99
967,1071401.058,649,"Touring-1000 Blue, 50",Blue,2384.07
798,1071291.781192,1500,"Road-550-W Yellow, 40",Yellow,1120.49
791,1066766.6099999999,639,"Road-250 Red, 52",Red,2443.35
770,1042909.77803,2270,"Road-650 Black, 52",Black,782.99
774,1019657.0009999999,505,"Mountain-100 Silver, 48",Silver,3399.99
760,1016529.018414,2232,"Road-650 Red, 60",Red,782.99
955,981187.8492,652,"Touring-1000 Yellow, 50",Yellow,2384.07
762,943340.559788,2254,"Road-650 Red, 44",Red,782.99
799,932039.589,1249,"Road-550-W Yellow, 42",Yellow,1120.49
748,930780.6807,1206,"HL Mountain Frame - Silver, 38",Silver,1364.5
743,901590.2336,1181,"HL Mountain Frame - Black, 42",Black,1349.6
761,879827.938243,1896,"Road-650 Red, 62",Red,782.99
763,878666.66366,1888,"Road-650 Red, 48",Red,782.99
765,869632.782451,1871,"Road-650 Black, 58",Black,782.99
972,772302.0123,1010,"Touring-2000 Blue, 54",Blue,1214.85
968,743353.0260000001,413,"Touring-1000 Blue, 54",Blue,2384.07
800,717825.9115,927,"Road-550-W Yellow, 44",Yellow,1120.49
975,694003.92,536,"Road-350-W Yellow, 44",Yellow,1700.99
956,667158.1488000001,397,"Touring-1000 Yellow, 54",Yellow,2384.07
953,635723.7159,820,"Touring-2000 Blue, 60",Blue,1214.85
758,621103.74,710,"Road-450 Red, 52",Red,1457.99
998,578174.31287,1556,"Road-750 Black, 48",Black,539.99
764,523630.1458,1112,"Road-650 Red, 52",Red,782.99
766,521898.261376,1100,"Road-650 Black, 60",Black,782.99
999,515666.906436,1338,"Road-750 Black, 52",Black,539.99
768,509245.008992,1080,"Road-650 Black, 44",Black,782.99
754,507978.2959,582,"Road-450 Red, 58",Red,1457.99
747,501788.1977,659,"HL Mountain Frame - Black, 38",Black,1349.6
786,501648.87506,776,"Mountain-300 Black, 40",Black,1079.99
742,499556.5724,649,"HL Mountain Frame - Silver, 46",Silver,1364.5
835,485700.546949,1435,"ML Road Frame-W - Yellow, 44",Yellow,594.83
787,484051.518,747,"Mountain-300 Black, 44",Black,1079.99
788,479071.900108,740,"Mountain-300 Black, 48",Black,1079.99
785,442477.086952,684,"Mountain-300 Black, 38",Black,1079.99
970,438867.47813999996,538,"Touring-2000 Blue, 46",Blue,1214.85
718,395182.6993,486,"HL Road Frame - Red, 44",Red,1431.5
717,394255.5724,485,"HL Road Frame - Red, 62",Red,1431.5
838,375026.9772,459,"HL Road Frame - Black, 44",Black,1431.5
977,361145.31200000003,892,"Road-750 Black, 58",Black,539.99
961,358121.888775,851,"Touring-3000 Yellow, 44",Yellow,742.35
965,351547.71141,844,"Touring-3000 Yellow, 62",Yellow,742.35
979,348581.503515,841,"Touring-3000 Blue, 50",Blue,742.35
892,324333.103309,542,"HL Touring Frame - Blue, 54",Blue,1003.91
981,323703.82066800003,617,"Mountain-400-W Silver, 40",Silver,769.49
889,323268.255972,540,"HL Touring Frame - Yellow, 54",Yellow,1003.91
767,312250.8139,644,"Road-650 Black, 62",Black,782.99
769,310946.5762,644,"Road-650 Black, 48",Black,782.99
755,306177.9,350,"Road-450 Red, 60",Red,1457.99
759,304012.6411,618,"Road-650 Red, 58",Red,782.99
822,303330.8412,895,"ML Road Frame-W - Yellow, 38",Yellow,594.83
756,302678.724,346,"Road-450 Red, 44",Red,1457.99
836,301286.7891,889,"ML Road Frame-W - Yellow, 48",Yellow,594.83
738,299595.522966,1581,"LL Road Frame - Black, 52",Black,337.22
962,291747.26175,686,"Touring-3000 Yellow, 50",Yellow,742.35
997,290298.624,656,"Road-750 Black, 44",Black,539.99
958,290075.118375,686,"Touring-3000 Blue, 54",Blue,742.35
971,286218.66,322,"Touring-2000 Blue, 50",Blue,1214.85
739,269874.0096,347,"HL Mountain Frame - Silver, 42",Silver,1364.5
980,241773.758,425,"Mountain-400-W Silver, 38",Silver,769.49
