ProductID,TotalSales,TotalQty,Name,Color,ListPrice
782,4400592.8004,2977,"Mountain-200 Black, 38",Black,2294.99
783,4009494.761841,2664,"Mountain-200 Black, 42",Black,2294.99
779,3693678.025272,2394,"Mountain-200 Silver, 38",Silver,2319.99
780,3438478.860423,2234,"Mountain-200 Silver, 42",Silver,2319.99
781,3434256.9419279997,2216,"Mountain-200 Silver, 46",Silver,2319.99
784,3309673.216908,2111,"Mountain-200 Black, 46",Black,2294.99
793,2516857.314918,1642,"Road-250 Black, 44",Black,2443.35
794,2347655.953454,1498,"Road-250 Black, 48",Black,2443.35
795,2012447.775,1245,"Road-250 Black, 52",Black,2443.35
753,1847818.628,664,"Road-150 Red, 56",Red,3578.27
